,texto
388,"Hallward painted away with that marvellous bold touch of his, that had the true reﬁnement and perfect"
389,"delicacy that in art, at any rate comes only from strength. He was unconscious of the silence."
390,"“Basil, I am tired of standing,” cried Dorian Gray suddenly. “I must go out and sit in the garden. The air is"
391,stifling here.”
392,"“My dear fellow, I am so sorry. When I am painting, I can’t think of anything else. But you never sat better."
393,You were perfectly still. And I have caught the eﬀect I wanted—the half-parted lips and the bright look in the
394,"eyes. I don’t know what Harry has been saying to you, but he has certainly made you have the most wonderful"
395,expression. I suppose he has been paying you compliments. You mustn’t believe a word that he says.”
396,“He has certainly not been paying me compliments. Perhaps that is the reason that I don’t believe anything he
397,has told me.”
398,"“You know you believe it all,” said Lord Henry, looking at him with his dreamy languorous eyes. “I will go out"
399,"to the garden with you. It is horribly hot in the studio. Basil, let us have something iced to drink, something with"
400,strawberries in it.”
401,"“Certainly, Harry. Just touch the bell, and when Parker comes I will tell him what you want. I have got to work"
402,"up this background, so I will join you later on. Don’t keep Dorian too long. I have never been in better form for"
403,painting than I am to-day. This is going to be my masterpiece. It is my masterpiece as it stands.”
404,"Lord Henry went out to the garden and found Dorian Gray burying his face in the great cool lilac-blossoms,"
405,feverishly drinking in their perfume as if it had been wine. He came close to him and put his hand upon his
406,"shoulder. “You are quite right to do that,” he murmured. “Nothing can cure the soul but the senses, just as"
407,nothing can cure the senses but the soul.”
408,"The lad started and drew back. He was bareheaded, and the leaves had tossed his rebellious curls and"
409,"tangled all their gilded threads. There was a look of fear in his eyes, such as people have when they are"
410,"suddenly awakened. His ﬁnely chiselled nostrils quivered, and some hidden nerve shook the scarlet of his lips"
411,and left them trembling.
412,"“Yes,” continued Lord Henry, “that is one of the great secrets of life—to cure the soul by means of the senses,"
413,"and the senses by means of the soul. You are a wonderful creation. You know more than you think you know,"
414,just as you know less than you want to know.”
415,"Dorian Gray frowned and turned his head away. He could not help liking the tall, graceful young man who"
416,"was standing by him. His romantic, olive-coloured face and worn expression interested him. There was"
417,"something in his low languid voice that was absolutely fascinating. His cool, white, ﬂowerlike hands, even, had a"
418,"curious charm. They moved, as he spoke, like music, and seemed to have a language of their own. But he felt"
419,"afraid of him, and ashamed of being afraid. Why had it been left for a stranger to reveal him to himself? He had"
420,"known Basil Hallward for months, but the friendship between them had never altered him. Suddenly there had"
421,"come some one across his life who seemed to have disclosed to him life’s mystery. And, yet, what was there to"
422,be afraid of? He was not a schoolboy or a girl. It was absurd to be frightened.
423,"“Let us go and sit in the shade,” said Lord Henry. “Parker has brought out the drinks, and if you stay any"
424,"longer in this glare, you will be quite spoiled, and Basil will never paint you again. You really must not allow"
425,yourself to become sunburnt. It would be unbecoming.”
426,"“What can it matter?” cried Dorian Gray, laughing, as he sat down on the seat at the end of the garden."
427,"“It should matter everything to you, Mr. Gray.”"
428,“Why?”
429,"“Because you have the most marvellous youth, and youth is the one thing worth having.”"
430,"“I don’t feel that, Lord Henry.”"
431,"“No, you don’t feel it now. Some day, when you are old and wrinkled and ugly, when thought has seared your"
432,"forehead with its lines, and passion branded your lips with its hideous ﬁres, you will feel it, you will feel it terribly"
433,"Now, wherever you go, you charm the world. Will it always be so? ... You have a wonderfully beautiful face, Mr."
434,"Gray. Don’t frown. You have. And beauty is a form of genius—is higher, indeed, than genius, as it needs no"
435,"explanation. It is of the great facts of the world, like sunlight, or spring-time, or the reﬂection in dark waters of"
436,that silver shell we call the moon. It cannot be questioned. It has its divine right of sovereignty. It makes princes
437,of those who have it. You smile? Ah! when you have lost it you won’t smile.... People say sometimes that beauty
438,"is only superﬁcial. That may be so, but at least it is not so superﬁcial as thought is. To me, beauty is the wonder"
439,of wonders. It is only shallow people who do not judge by appearances. The true mystery of the world is the
440,"visible, not the invisible.... Yes, Mr. Gray, the gods have been good to you. But what the gods give they quickly"
441,"take away. You have only a few years in which to live really, perfectly, and fully. When your youth goes, your"
442,"beauty will go with it, and then you will suddenly discover that there are no triumphs left for you, or have to"
443,content yourself with those mean triumphs that the memory of your past will make more bitter than defeats.
444,"Every month as it wanes brings you nearer to something dreadful. Time is jealous of you, and wars against your"
445,"lilies and your roses. You will become sallow, and hollow-cheeked, and dull-eyed. You will suﬀer horribly.... Ah!"
